Instância;Custo Médio Após IG;Custo Médio;Tempo Médio da Solução Inicial(ms);Tempo Médio Total(ms);Tempo Médio Construtivo(ms);Tempo Médio MIP(ms);Tempo Médio(ms);Tempo Limite do GRASP(ms);Semente;Menor Custo Médio;Tempo Médio do Menor Custo Médio(ms);Tentativa Média com Melhora;Tentativa Mínima com Melhora;Tentativa Máxima com Melhora;Número de Soluções Média do IG;Número de Soluções do GRASP;Número de Soluções Repetidas do GRASP;Número de Soluções do IG;Número de Soluções Repetidas do IG;Número de Soluções Parciais Repetidas;Diferença média entre as Soluções;Diferença mínima entre as Soluções;Diferença máxima entre as Soluções
50-0,8-12;1,1000;1,1000;0,0219;0,0000;0,0000;0,0000;0,0219;1;0;1,1;0,0219;0,00;0,00;0,00;0,00;100;0;0;0;0;0,00;0,00;0,00
50-0,5-12;2,0000;2,0000;0,0394;0,0000;0,0000;0,0000;0,0394;1;0;2,0;0,0394;0,00;0,00;0,00;0,00;100;0;0;0;0;0,00;0,00;0,00
50-0,2-12;3,8000;3,9800;0,5463;0,4761;0,4761;0,0000;0,1521;1;0;3,8;0,1521;0,00;0,00;0,00;4,00;100;0;82;0;0;5,60;2,00;10,00
50-0,8-25;2,0000;2,0000;0,0959;0,0000;0,0000;0,0000;0,0959;1;0;2,0;0,0959;0,00;0,00;0,00;0,00;100;0;0;0;0;0,00;0,00;0,00
50-0,5-25;3,0000;3,0000;0,1949;0,0000;0,0000;0,0000;0,1949;1;0;3,0;0,1949;0,00;0,00;0,00;0,00;100;0;0;0;0;0,00;0,00;0,00
50-0,2-25;5,9000;6,2600;3,0624;2,8649;2,8649;0,0000;1,3136;1;0;5,9;1,3136;0,00;0,00;0,00;7,14;100;0;357;0;0;7,79;2,00;15,00
50-0,8-50;3,0000;3,0000;0,2690;0,0000;0,0000;0,0000;0,2690;1;0;3,0;0,2690;0,00;0,00;0,00;0,00;100;0;0;0;0;0,00;0,00;0,00
50-0,5-50;4,0000;4,2900;1,6919;8,3803;8,3803;0,0000;7,9659;1;0;4,0;7,9659;0,00;0,00;0,00;72,25;100;0;2679;0;0;8,03;2,00;13,00
50-0,2-50;8,6000;8,9400;2,1159;2,3341;2,3341;0,0000;2,3705;1;0;8,6;2,3705;0,00;0,00;0,00;6,90;100;0;368;0;0;12,48;2,00;25,00
50-0,8-62;3,0000;3,2100;6,3192;4,9670;4,9670;0,0000;2,6100;1;0;3,0;2,6100;0,00;0,00;0,00;7,25;100;0;173;0;0;8,32;2,00;9,00
50-0,5-62;4,7000;4,8300;2,9879;3,3260;3,3260;0,0000;3,4334;1;0;4,7;3,4334;0,00;0,00;0,00;25,33;100;0;517;0;0;7,72;2,00;12,00
50-0,2-62;9,3100;10,0500;2,5832;57,2627;57,2627;0,0000;50,6165;1;0;9,3;54,0670;0,00;0,00;0,00;136,00;100;0;10675;0;0;13,43;2,00;33,00
100-0,8-25;1,8000;1,8000;0,1628;0,0000;0,0000;0,0000;0,1628;50;0;1,8;0,1628;0,00;0,00;0,00;0,00;100;0;0;0;0;0,00;0,00;0,00
100-0,5-25;2,0000;2,0900;1,5269;1,9054;1,9054;0,0000;0,7908;50;0;2,0;0,7908;0,00;0,00;0,00;29,00;100;0;262;0;0;4,65;2,00;6,00
100-0,2-25;4,5000;4,6700;1,4300;1,0194;1,0194;0,0000;1,0674;50;0;4,5;1,0674;0,00;0,00;0,00;4,67;100;0;119;0;0;7,81;2,00;12,00
100-0,8-50;2,0000;2,0100;1,2228;0,3309;0,3309;0,0000;0,9074;50;0;2,0;0,9074;0,00;0,00;0,00;1,00;100;0;1;0;0;0,00;2147483648,00;0,00
100-0,5-50;3,0000;3,2000;5,8599;19,1497;19,1497;0,0000;14,2196;50;0;3,0;14,2196;0,00;0,00;0,00;117,50;100;0;2358;0;0;6,50;2,00;10,00
100-0,2-50;6,7000;7,2500;4,8031;12,2107;12,2107;0,0000;10,1901;50;0;6,7;10,1901;0,00;0,00;0,00;18,86;100;0;1211;0;0;12,28;2,00;22,00
100-0,8-100;3,0000;3,2700;19,8696;78,4746;78,4746;0,0000;64,3481;50;0;3,0;64,3481;0,00;0,00;0,00;106,50;100;0;4090;0;0;6,45;2,00;10,00
100-0,5-100;4,7000;4,9900;12,2781;28,9550;28,9550;0,0000;20,9330;50;0;4,7;20,9330;0,00;0,00;0,00;30,60;100;0;1196;0;0;9,33;2,00;14,00
100-0,2-100;9,8100;10,7700;9,5899;473,7087;473,7087;0,0000;235,8277;50;0;9,7;269,4742;0,00;0,00;0,00;227,20;100;0;22530;0;0;17,43;2,00;35,00
100-0,8-125;4,0000;4,0000;2,5567;0,0000;0,0000;0,0000;2,5567;50;0;4,0;2,5567;0,00;0,00;0,00;0,00;100;0;0;0;0;0,00;0,00;0,00
100-0,5-125;5,2400;5,8300;37,3243;280,0262;280,0262;0,0000;156,7169;50;0;5,2;168,7591;0,00;0,00;0,00;151,71;100;0;10405;0;0;10,68;2,00;16,00
100-0,2-125;11,0300;12,0200;11,6663;427,2537;427,2537;0,0000;338,4231;50;0;11,0;380,3098;0,00;0,00;0,00;176,67;100;0;15215;0;0;19,83;2,00;40,00
200-0,8-50;2,0000;2,0000;0,8175;0,0000;0,0000;0,0000;0,8175;100;0;2,0;0,8175;0,00;0,00;0,00;0,00;100;0;0;0;0;0,00;0,00;0,00
200-0,5-50;2,2000;2,2200;2,0547;1,0907;1,0907;0,0000;1,0551;100;0;2,2;1,0551;0,00;0,00;0,00;1,00;100;0;3;0;0;5,00;2147483648,00;0,00
200-0,2-50;5,2000;5,5000;18,2510;23,0171;23,0171;0,0000;10,5781;100;0;5,2;10,5781;0,00;0,00;0,00;10,00;100;0;444;0;0;9,71;2,00;15,00
200-0,8-100;2,6200;2,8400;31,4142;240,3566;240,3566;0,0000;156,7190;100;0;2,6;156,7190;0,00;0,00;0,00;257,33;100;0;6744;0;0;5,38;2,00;7,00
200-0,5-100;3,4800;3,9200;88,2532;422,0112;422,0112;0,0000;82,6259;100;0;3,4;84,8708;0,00;0,00;0,00;176,50;100;0;10006;0;0;7,06;2,00;10,00
200-0,2-100;8,1100;8,7400;53,0947;1463,5648;1463,5648;0,0000;424,6685;100;0;7,9;696,0745;0,00;0,00;0,00;300,60;100;0;29556;0;0;15,98;2,00;28,00
200-0,8-200;4,0000;4,0000;9,5469;0,0000;0,0000;0,0000;9,5469;100;0;4,0;9,5469;0,00;0,00;0,00;0,00;100;0;0;0;0;0,00;0,00;0,00
200-0,5-200;5,4100;6,2500;198,7615;1610,4609;1610,4609;0,0000;1305,1399;100;0;5,4;1326,4608;0,00;0,00;0,00;138,33;100;0;12255;0;0;11,81;2,00;19,00
200-0,2-200;12,3000;13,3500;69,7216;7569,1885;7569,1885;0,0000;2109,0725;100;0;12,2;2229,4614;0,00;0,00;0,00;538,50;100;0;53597;0;0;22,77;2,00;47,00
200-0,8-250;4,0400;4,5300;183,6344;1989,4329;1989,4329;0,0000;1207,8448;100;0;4,0;1488,7218;0,00;0,00;0,00;181,86;100;0;11709;0;0;9,37;2,00;13,00
200-0,5-250;6,3200;7,1000;222,3775;1755,2214;1755,2214;0,0000;1204,2458;100;0;6,3;1306,3298;0,00;0,00;0,00;99,33;100;0;8828;0;0;13,88;2,00;23,00
200-0,2-250;13,9400;15,0800;76,5672;6835,7197;6835,7197;0,0000;2259,0056;100;0;13,9;2442,6235;0,00;0,00;0,00;341,00;100;0;33753;0;0;26,61;2,00;54,00
