Instância;Custo Médio Após SA;Custo Médio;Tempo Médio da Solução Inicial(ms);Tempo Médio Total(ms);Tempo Médio Construtivo(ms);Tempo Médio BL(ms);Tempo Médio(ms);Tempo Limite do GRASP(ms);Semente;Menor Custo Médio;Tempo Médio do Menor Custo Médio(ms);Número de Soluções do GRASP;Número de Soluções Repetidas do GRASP;Número de Soluções do SA;Número de Soluções Repetidas do SA;Número de Soluções Parciais Repetidas
20-0,8;2,4000;2,5100;0,3001;0,2320;0,2278;0,0042;0,2044;1;0;2,4;0,2044;100;0;528;0;166
20-0,5;3,1000;3,4300;0,8004;0,6433;0,6318;0,0115;0,5010;1;0;3,1;0,5010;107;0;955;0;241
20-0,2;6,7000;6,7800;0,4336;0,1858;0,1765;0,0093;0,4293;1;0;6,7;0,4293;103;0;299;0;19
30-0,8;2,8000;2,8000;0,0709;0,0000;0,0000;0,0000;0,0709;1;0;2,8;0,0709;100;0;0;0;0
30-0,5;3,7000;3,7400;0,5229;0,3014;0,2990;0,0024;0,3220;1;0;3,7;0,3220;100;0;84;0;10
30-0,2;7,4000;7,5700;1,0752;1,6512;1,5673;0,0839;1,6538;1;0;7,4;1,6538;100;0;1137;0;77
40-0,8;2,9000;2,9000;0,1314;0,0000;0,0000;0,0000;0,1314;1;0;2,9;0,1314;100;0;0;0;0
40-0,5;3,7000;3,8700;0,8289;1,1452;1,1242;0,0210;0,9834;1;0;3,7;0,9834;100;0;834;0;162
40-0,2;7,4000;7,8400;2,2876;31,2868;29,5564;1,7304;30,2536;1;0;7,4;30,2536;100;0;15380;0;3589
50-0,8;3,0000;3,0000;0,2157;0,0000;0,0000;0,0000;0,2157;1;0;3,0;0,2157;100;0;0;0;0
50-0,5;4,0000;4,2900;1,9711;13,7699;13,4261;0,3438;13,4816;1;0;4,0;13,4816;100;0;7179;0;1725
50-0,2;8,6000;8,9400;2,4042;21,2670;20,3572;0,9098;21,5054;1;0;8,6;21,5054;100;0;5717;0;161
