Instância;Custo Médio Após SA;Custo Médio;Tempo Médio da Solução Inicial(ms);Tempo Médio Total(ms);Tempo Médio Construtivo(ms);Tempo Médio BL(ms);Tempo Médio(ms);Tempo Limite do GRASP(ms);Semente;Menor Custo Médio;Tempo Médio do Menor Custo Médio(ms);Número de Soluções do GRASP;Número de Soluções Repetidas do GRASP;Número de Soluções do SA;Número de Soluções Repetidas do SA
50-0.8-12;1.1;1.1;0.0222;0.0000;0.0000;0.0000;0.0222;1;0;1.1;0.0222;100;0;0;0
50-0.5-12;2.0;2.0;0.0358;0.0000;0.0000;0.0000;0.0358;1;0;2.0;0.0358;100;0;0;0
50-0.2-12;3.8;4.0;0.6551;0.8075;0.6172;0.1903;0.3821;1;0;3.8;0.3821;100;0;311;154
50-0.8-25;2.0;2.0;0.0729;0.0000;0.0000;0.0000;0.0729;1;0;2.0;0.0729;100;0;0;0
50-0.5-25;3.0;3.0;0.1563;0.0000;0.0000;0.0000;0.1563;1;0;3.0;0.1563;100;0;0;0
50-0.2-25;5.9;6.3;4.1872;5.4724;4.1848;1.2876;2.7179;1;0;5.9;2.7179;100;0;1175;589
50-0.8-50;3.0;3.0;0.2218;0.0000;0.0000;0.0000;0.2218;1;0;3.0;0.2218;100;0;0;0
50-0.5-50;4.0;4.3;1.7363;17.7085;9.9694;7.7391;17.3008;1;0;4.0;17.3008;100;0;7436;4060
50-0.2-50;8.6;8.9;2.4395;4.1999;3.1011;1.0987;4.0347;1;0;8.6;4.0347;100;0;1159;551
50-0.8-62;3.0;3.2;12.5499;15.9778;11.4016;4.5762;8.0537;1;0;3.0;8.0537;100;0;863;325
50-0.5-62;4.7;4.8;5.6918;18.6909;7.8591;10.8317;17.7547;1;0;4.7;17.7547;100;0;3173;1614
50-0.2-62;9.3;10.0;3.0893;29.9048;22.5541;7.3507;28.4875;1;0;9.3;28.4875;100;0;9792;4786
100-0.8-25;1.8;1.8;0.1196;0.0000;0.0000;0.0000;0.1196;50;0;1.8;0.1196;100;0;0;0
100-0.5-25;2.0;2.1;2.4799;2.8497;2.0267;0.8231;2.2157;50;0;2.0;2.2157;122;0;432;81
100-0.2-25;4.5;4.5;4.7896;0.1953;0.1372;0.0582;4.9198;50;0;4.5;4.9198;235;20;68;43
100-0.8-50;2.0;2.0;1.1829;0.0000;0.0000;0.0000;1.1829;50;0;2.0;1.1829;101;0;0;0
100-0.5-50;3.0;3.2;9.2477;28.5431;16.1639;12.3793;20.1676;50;0;3.0;20.1676;121;1;2639;1236
100-0.2-50;6.7;6.9;9.8797;36.7315;26.7687;9.9626;43.1270;50;0;6.7;43.1270;295;3;6426;3365
100-0.8-100;3.0;3.3;46.4143;304.7572;87.7385;217.0183;267.6220;50;0;3.0;267.6220;100;0;8193;3436
100-0.5-100;4.7;5.0;27.3087;114.7138;53.7966;60.9171;94.4933;50;0;4.7;94.4933;111;2;4734;2451
100-0.2-100;9.7;10.4;18.4849;509.7010;421.9442;87.7566;436.1130;50;0;9.7;451.2000;483;10;40336;18860
100-0.8-125;4.0;4.0;2.4278;0.0000;0.0000;0.0000;2.4278;50;0;4.0;2.4278;100;0;0;0
100-0.5-125;5.2;5.8;79.6774;710.2623;258.9455;451.3155;640.3463;50;0;5.2;640.3463;108;0;21180;10055
100-0.2-125;11.0;11.6;22.3884;1064.9186;936.8584;128.0601;873.1011;50;0;11.0;923.0161;354;3;63937;27754
200-0.8-50;2.0;2.0;0.6639;0.0000;0.0000;0.0000;0.6639;100;0;2.0;0.6639;100;0;0;0
200-0.5-50;2.2;2.2;2.7315;1.4383;1.3774;0.0609;1.5131;100;0;2.2;1.5131;101;0;9;4
200-0.2-50;5.2;5.5;33.3733;81.7318;51.9608;29.7710;59.6204;100;0;5.2;59.6204;130;0;2698;1339
200-0.8-100;2.6;2.8;65.0873;349.8114;128.8476;220.9636;292.1765;100;0;2.6;292.1765;102;0;5744;1278
200-0.5-100;3.4;3.9;185.5405;815.3986;298.6348;516.7640;639.4141;100;0;3.4;639.4141;100;0;8443;3511
200-0.2-100;8.0;8.7;112.5435;6744.5361;4053.1172;2691.4258;4538.4668;100;0;7.9;5674.4009;209;7;150738;79426
200-0.8-200;4.0;4.0;8.8418;0.0000;0.0000;0.0000;8.8418;100;0;4.0;8.8418;100;0;0;0
200-0.5-200;5.4;6.2;546.6410;11682.3799;3564.9751;8117.3936;10114.2119;100;0;5.4;10294.7617;100;0;75230;34425
200-0.2-200;12.2;13.2;124.7283;33541.8984;27458.5410;6083.3389;15822.3613;100;0;11.9;23549.2891;207;2;336068;152887
200-0.8-250;4.0;4.5;530.8824;8560.8730;2085.0601;6475.8228;8075.8506;100;0;4.0;8075.8506;100;0;36760;18165
200-0.5-250;6.4;7.1;642.4513;11140.2559;5271.1235;5869.1338;5121.0288;100;0;6.3;6344.2793;101;0;71900;36180
200-0.2-250;13.9;14.8;127.0359;30960.5723;27506.2812;3454.2747;19991.7402;100;0;13.7;20926.0117;172;0;227762;88898
